Watching for file changes with StatReloader
INFO 2021-08-31 21:08:41,082 autoreload 131065 140488178497344 Watching for file changes with StatReloader
INFO 2021-08-31 21:09:06,999 basehttp 131065 140488044705344 "GET / HTTP/1.1" 200 3052
INFO 2021-08-31 21:09:07,031 basehttp 131065 140488044705344 "GET /static/store/lib/fontawesome/css/all.min.css HTTP/1.1" 200 59344
INFO 2021-08-31 21:09:07,033 basehttp 131065 140488036312640 "GET /static/store/css/store.css HTTP/1.1" 200 2723
INFO 2021-08-31 21:09:07,035 basehttp 131065 140488036312640 "GET /static/store/js/cart.js HTTP/1.1" 304 0
WARNING 2021-08-31 21:09:07,070 log 131065 140488036312640 Not Found: /favicon.ico
INFO 2021-08-31 21:09:13,906 basehttp 131065 140488036312640 "GET / HTTP/1.1" 200 3052
WARNING 2021-08-31 21:09:13,941 log 131065 140488036312640 Not Found: /favicon.ico
INFO 2021-08-31 21:09:24,822 basehttp 131065 140488036312640 "GET /products/ HTTP/1.1" 302 0
INFO 2021-08-31 21:09:24,834 basehttp 131065 140488036312640 "GET /accounts/login/?next=/products/ HTTP/1.1" 200 4657
INFO 2021-08-31 21:09:33,217 basehttp 131065 140488036312640 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-08-31 21:09:33,259 basehttp 131065 140488036312640 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 21:24:48,623 autoreload 134729 140307779278656 Watching for file changes with StatReloader
INFO 2021-08-31 21:24:56,849 basehttp 134729 140307716826688 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 21:24:56,924 basehttp 134729 140307707909696 "GET /static/store/css/store.css HTTP/1.1" 200 2723
INFO 2021-08-31 21:24:56,926 basehttp 134729 140307716826688 "GET /static/store/lib/fontawesome/css/all.min.css HTTP/1.1" 200 59344
INFO 2021-08-31 21:24:56,932 basehttp 134729 140307699516992 "GET /static/store/js/cart.js HTTP/1.1" 200 1540
INFO 2021-08-31 21:24:57,090 basehttp 134729 140307716826688 "GET /static/store/lib/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
WARNING 2021-08-31 21:24:57,108 log 134729 140307716826688 Not Found: /favicon.ico
WARNING 2021-08-31 21:24:57,108 basehttp 134729 140307716826688 "GET /favicon.ico HTTP/1.1" 404 3437
INFO 2021-08-31 21:25:09,157 autoreload 134729 140307779278656 /home/artyom/Documents/Uni/ISP/lab3/lab3/settings.py changed, reloading.
INFO 2021-08-31 21:25:09,515 autoreload 134844 139646072375104 Watching for file changes with StatReloader
INFO 2021-08-31 21:25:16,790 autoreload 134844 139646072375104 /home/artyom/Documents/Uni/ISP/lab3/lab3/settings.py changed, reloading.
INFO 2021-08-31 21:25:16,999 autoreload 134876 139825248323392 Watching for file changes with StatReloader
ERROR 2021-08-31 21:25:21,165 exception 134876 139825185871424 Invalid HTTP_HOST header: 'localhost:8000'. You may need to add 'localhost' to ALLOWED_HOSTS.
WARNING 2021-08-31 21:25:21,299 log 134876 139825185871424 Bad Request: /
WARNING 2021-08-31 21:25:21,300 basehttp 134876 139825185871424 "GET / HTTP/1.1" 400 72774
INFO 2021-08-31 21:25:38,585 autoreload 134876 139825248323392 /home/artyom/Documents/Uni/ISP/lab3/lab3/settings.py changed, reloading.
INFO 2021-08-31 21:25:38,833 autoreload 134970 139984878094144 Watching for file changes with StatReloader
INFO 2021-08-31 21:25:40,470 basehttp 134970 139984815642176 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 21:25:40,493 basehttp 134970 139984815642176 "GET /static/store/js/cart.js HTTP/1.1" 304 0
INFO 2021-08-31 21:25:41,744 basehttp 134970 139984815642176 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 21:25:42,275 basehttp 134970 139984815642176 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 21:25:42,341 basehttp 134970 139984815642176 "GET /static/store/img/SK-A-3262.jpg HTTP/1.1" 200 65617
INFO 2021-08-31 21:25:42,342 basehttp 134970 139984806463040 "GET /static/store/img/SK-A-4050.jpg HTTP/1.1" 200 26305
INFO 2021-08-31 21:25:42,342 basehttp 134970 139984594007616 "GET /static/store/img/SK-C-216.jpg HTTP/1.1" 200 54627
INFO 2021-08-31 21:25:42,342 basehttp 134970 139984568829504 "GET /static/store/img/SK-A-4691.jpg HTTP/1.1" 200 42572
INFO 2021-08-31 21:25:42,343 basehttp 134970 139984577222208 "GET /static/store/img/SK-C-597.jpg HTTP/1.1" 200 43631
INFO 2021-08-31 21:25:42,345 basehttp 134970 139984585614912 "GET /static/store/img/SK-C-5.jpg HTTP/1.1" 200 67089
INFO 2021-08-31 21:25:42,346 basehttp 134970 139984577222208 "GET /static/store/img/SK-A-2391.jpg HTTP/1.1" 200 36658
INFO 2021-08-31 21:25:42,346 basehttp 134970 139984568829504 "GET /static/store/img/SK-C-1768.jpg HTTP/1.1" 200 46000
INFO 2021-08-31 21:25:42,346 basehttp 134970 139984815642176 "GET /static/store/img/SK-C-6.jpg HTTP/1.1" 200 49541
INFO 2021-08-31 21:25:42,346 basehttp 134970 139984806463040 "GET /static/store/img/SK-A-5033.jpg HTTP/1.1" 200 52573
INFO 2021-08-31 21:25:42,348 basehttp 134970 139984806463040 "GET /static/store/img/SK-A-4057.jpg HTTP/1.1" 200 43178
